Pixel#,X,Y,Letter
1,24.500,4.585,Z
2,25.061,5.102,Z
3,25.561,5.619,Z
4,26.060,6.136,Z
5,26.560,6.653,Z
6,27.060,7.17,Z
7,27.559,7.687,Z
8,28.059,8.204,Z
9,28.559,8.721,Z
10,29.058,9.238,Z
11,29.700,9.75,Z
12,29.000,9.75,Z
13,28.000,9.75,Z
14,27.000,9.75,Z
15,26.000,9.75,Z
16,25.000,9.75,Z
17,24.000,9.75,Z
18,23.000,9.75,Z
19,22.000,9.75,Z
20,21.5,9.75,E
21,20.333,9.75,E
22,19.166,9.75,E
23,17.999,9.75,E
24,16.832,9.75,E
25,15.665,9.75,E
26,14.498,9.75,E
27,14.5,9.25,E
28,14.5,8.75,E
29,14.5,8.25,E
30,14.5,7.75,E
31,14.5,7.25,E
32,15.4,7.25,E
33,16.3,7.25,E
34,17.2,7.25,E
35,18.3,7.25,E
36,18.3,6.25,E
37,18.3,5.25,E
38,17.1,5.25,E
39,15.8,5.25,E
40,14.5,5.25,E
41,14.5,4.6,E
42,14.5,3.95,E
43,14.5,3.3,E
44,14.5,2.65,E
45,14.5,2,E
46,15.7,2,E
47,16.832,2,E
48,16.832,2,E
49,17.999,2,E
50,19.166,2,E
51,20.333,2,E
52,21.5,2,E
53,21.5,1,E
54,21.5,0,E
55,20.158,0,E
56,18.815,0,E
57,17.472,0,E
58,16.129,0,E
59,14.786,0,E
60,13.443,0,E
61,12.1,0,E
62,11.25,0,A
63,9.65,0,A
64,9.125,0.458,A
65,9,0.916,A
66,8.875,1.374,A
67,8.75,1.832,A
68,8.625,2.29,A
69,8.5,2.75,A
70,7.25,2.75,A
71,6,2.75,A
72,4.75,2.75,A
73,3.5,2.75,A
74,3.3,2.2,A
75,3.1,1.65,A
76,2.9,1.1,A
77,2.7,0.55,A
78,2.5,0,A
79,1.25,0,A
80,0,0,A
81,0.339,0.839,A
82,0.678,1.678,A
83,1.017,2.517,A
84,1.356,3.356,A
85,1.695,4.195,A
86,2.034,5.034,A
87,2.373,5.873,A
88,2.712,6.712,A
89,3.051,7.551,A
90,3.39,8.39,A
91,3.729,9.229,A
92,4.068,10.068,A
93,4.407,10.907,A
94,4.75,11.75,A
95,5.583,11.75,A
96,---,---,---
97,5.816,8.566,A
98,5.628,8.128,A
99,5.44,7.69,A
100,5.252,7.252,A
101,5.064,6.814,A
102,4.876,6.376,A
103,4.688,5.938,A
104,4.5,5.5,A
105,5.5,5.5,A
106,6.5,5.5,A
107,7.5,5.5,A
108,7.312,5.938,A
109,7.124,6.376,A
110,6.936,6.814,A
111,6.748,7.252,A
112,6.56,7.69,A
113,6.372,8.128,A
114,6.184,8.566,A
115,---,---,---
116,6.416,11.75,A
117,7.25,11.75,A
118,7.567,10.962,A
119,7.884,10.179,A
120,8.201,9.396,A
121,8.518,8.613,A
122,8.835,7.83,A
123,9.152,7.047,A
124,9.469,6.264,A
125,9.786,5.481,A
126,10.103,4.698,A
127,10.42,3.915,A
128,10.737,3.132,A
129,11.054,2.349,A
130,11.371,1.566,A
131,11.688,0.783,A
132,12.1,0.783,E
133,12.1,1.566,E
134,12.1,2.349,E
135,12.1,3.132,E
136,12.1,3.915,E
137,12.1,4.698,E
138,12.1,5.481,E
139,12.1,6.264,E
140,12.1,7.047,E
141,12.1,7.83,E
142,12.1,8.613,E
143,12.1,9.396,E
144,12.1,10.179,E
145,12.1,10.962,E
146,12.1,11.75,E
147,13.275,11.75,E
148,14.45,11.75,E
149,15.625,11.75,E
150,16.8,11.75,E
151,17.975,11.75,E
152,19.15,11.75,E
153,20.325,11.75,E
154,21.5,11.75,E
155,21.5,10.75,E
156,---,---,---
157,22.000,10.75,Z
158,22.000,11.75,Z
159,23.000,11.75,Z
160,24.200,11.75,Z
161,25.400,11.75,Z
162,26.600,11.75,Z
163,27.800,11.75,Z
164,29.000,11.75,Z
165,30.200,11.75,Z
166,31.400,11.75,Z
167,32.500,11.75,Z
168,32.500,10.75,Z
169,32.500,9.75,Z
170,32.016,9.233,Z
171,31.532,8.716,Z
172,31.048,8.199,Z
173,30.564,7.682,Z
174,30.080,7.165,Z
175,29.596,6.648,Z
176,29.112,6.131,Z
177,28.628,5.614,Z
178,28.145,5.097,Z
179,27.661,4.58,Z
180,27.177,4.063,Z
181,26.693,3.546,Z
182,26.209,3.029,Z
183,25.725,2.512,Z
184,25.000,2,Z
185,26.000,2,Z
186,27.000,2,Z
187,28.100,2,Z
188,29.200,2,Z
189,30.300,2,Z
190,31.400,2,Z
191,32.500,2,Z
192,32.500,1,Z
193,32.500,0,Z
194,31.600,0,Z
195,30.635,0,Z
196,29.424,0,Z
197,28.214,0,Z
198,27.003,0,Z
199,25.793,0,Z
200,24.583,0,Z
201,23.372,0,Z
202,22.000,0,Z
203,22.000,1,Z
204,22.000,2,Z
205,22.500,2.517,Z
206,23.056,3.034,Z
207,23.503,3.551,Z
208,23.950,4.068,Z
